,Name,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neutral,roberta_pos,Stars,Title,Date,Description
0,Francis Mwasilu,0.0,0.208,0.792,0.5859,0.006662209518253803,0.0715244710445404,0.9218133091926575,5,"5.0 out of 5 stars
Working perfectly",14/06/2024,Amazing performance
1,bill brewer,0.085,0.526,0.389,0.9848,0.01735052466392517,0.05529807507991791,0.9273513555526733,5,"5.0 out of 5 stars
Great photo",8/5/2024,I’m not one to like apple but I have to say great phone great camera easy to use and costly for what you get but if you love phones I’d get one and I’m not a apple lover but yep I said get one I can lie about apple it was easy to use and function were great too
2,Garby,0.124,0.776,0.1,-0.3709,0.9314039945602417,0.05951850488781929,0.009077557362616062,1,"1.0 out of 5 stars
Beware the iPhone 15 pro max is a defective product buyers are not warned about!",9/6/2024,"It has been well established in reviews that the iPhone 15 pro max “glass back” easily shatters and/or cracks! Something I was not warned about, and unfortunately learned after buying it!In addition, the seller only refunded me 1/2 of its cost!I feel extremely upset having to pay approximately $600 for something I was never able to use!"
3,Christina,0.0,0.778,0.222,0.7177,0.0015287137357518077,0.008975488133728504,0.9894958138465881,5,"5.0 out of 5 stars
Very Pleased",25/05/2024,"My phone came a day earlier than the original delivery date, phone looks and navigates as if it were brand new. I couldn’t be happier!"
4,juan leopoldo guajardo chapa,0.188,0.812,0.0,-0.5267,0.0016305141616612673,0.04179016500711441,0.9565793871879578,5,"5.0 out of 5 stars
It doesn’t feel like a refurbished iPhone",22/05/2024,"It’s an iPhone 15 pro max , no wear marks, no usage on the battery and it looks and feels brand new."
5,joe fulford,0.288,0.666,0.047,-0.8972,0.9655599594116211,0.029541000723838806,0.004899017978459597,5,"5.0 out of 5 stars
Pray you can get a esim on it",5/5/2024,My problem is I’ve tried for two day to have a esim put on it and I can’t! Makes me wonder is something wrong with this phone after I spent well over a $ 1000 on it!!! Frustrated as crap
6,Ketuta,0.149,0.851,0.0,-0.6563,0.9442855715751648,0.049334172159433365,0.006380206439644098,1,"1.0 out of 5 stars
Don’t buy from this seller!!!",24/05/2024,"I’m so mad!!! Was just scrolling my phone and the screen started to change color 🥹 I’m not in USA right now ,don’t know what to do"
7,Parabatai,0.0,0.804,0.196,0.5262,0.0024468880146741867,0.009983878582715988,0.987569272518158,5,"5.0 out of 5 stars
Iphone15 pro Max",11/5/2024,"The phone is very nice, it is in excellent condition, a detail in the camera but nothing that affects its operation"
8,Peter Y. Qian,0.0,0.775,0.225,0.7391,0.015368254855275154,0.08283957093954086,0.9017921686172485,4,"4.0 out of 5 stars
Cellphone is great like new but not included Apple OEM Woven USB cable, instead a cheap plastic one",15/03/2024,"Cellphone is great like new but not included Apple OEM Woven USB cable, instead a cheap plastic one.  Thought Renew package included all original OEM parts except a white-plain box."
9,OMONDI ODONDI,0.0,0.323,0.677,0.6369,0.0026196837425231934,0.006911955773830414,0.9904683232307434,5,"5.0 out of 5 stars
Iphone 15 pro max",4/5/2024,I love this phone
10,Good,0.0,0.767,0.233,0.836,0.0018569036619737744,0.007276758551597595,0.9908663630485535,5,"5.0 out of 5 stars
Amazing cellphone",,The delivery was perfect and I’ve been using the phone for almost five months now and everything is good.The camera is one of the best in the market.
11,B.O.D,0.0,0.868,0.132,0.886,0.005833114963024855,0.029009710997343063,0.9651572108268738,5,"5.0 out of 5 stars
Excellent experience, but…",,"Face ID, dynamic island, promotion and always on display and furthermore, switching to 15PM from 8P did took me a little bit while to get use to these new features, and I do have a good experience with my new IPhone overall. However it seems that the overheating issue still exists, I can feel the back’s heat every time I send a lot pictures at once, even though the system is already up to date. Finally, love the delivery of Amazon, fast and accurate always."
12,Alex,0.0,0.0,1.0,0.6249,0.03383319824934006,0.26710736751556396,0.6990594267845154,5,"5.0 out of 5 stars
Good",,Great
13,Robby,0.0,0.561,0.439,0.8553,0.0013946299441158772,0.016136247664690018,0.9824690818786621,5,"5.0 out of 5 stars
Great phone!",,Battery life is good. Camera is great. ProRAW works really well on photo editing apps.
14,Amit patel,0.0,0.408,0.592,0.4404,0.0036484769079834223,0.04096044600009918,0.9553911089897156,5,"5.0 out of 5 stars
Fast delivery and very convenient",,Everything is good
15,Meowgana,0.044,0.705,0.251,0.8828,0.0351414754986763,0.11604755371809006,0.8488109707832336,5,"5.0 out of 5 stars
Excellent Battery Life and Camera",,"Phone quality is amazing, even comes with an inbuilt LiDAR lol which was unexpected. However coming from android, there is no good adblock such as firefox + ublock or youtube revanced so that definitely has me reconsidering the pros and cons."
16,David,0.0,0.631,0.369,0.945,0.008270511403679848,0.06803953647613525,0.9236900210380554,5,"5.0 out of 5 stars
Screen is very clear",,I thought the max might be too large. It's a bit big in my pocket but does fit. The screen is really clear and easy to read. The 5G reception is good.
17,MattB,0.178,0.785,0.037,-0.8807,0.8912975192070007,0.08955800533294678,0.019144535064697266,2,"2.0 out of 5 stars
Disappointed with the lake of upgrade experience",,So I was on an iPhone 8 Plus and thought the battery life was poor and Siri was crap and this would improve with the upgrade. Siri is still crap and the battery still only last half a day if you use the GPS for Strava etc. regretting the upgrade. I should have done the battery upgrade or bought an older model. So poor I am half considering android for my next phone.
18,PMalla,0.0,0.0,1.0,0.5719,0.16824674606323242,0.48015859723091125,0.35159462690353394,5,"5.0 out of 5 stars
Excellent",,Excellent
19,Ilya Malkin,0.0,0.631,0.369,0.6249,0.01217752043157816,0.06323833018541336,0.924584150314331,5,"5.0 out of 5 stars
great ne mobile",,received after some waiting time. great mobile phone
20,Jason Lento,0.158,0.842,0.0,-0.5859,0.03214674070477486,0.3693644106388092,0.5984888076782227,5,So easy and worth it,"Reviewed in the United States on June 17, 2024","Literally 60 bucks a month plus 17 a month for the phone finance ., you can pay out the phone you have or automatically upgrade to the newest iPhone. No hidden fees no bull .
                            








                              Read more"
21,RavenD29,0.118,0.773,0.11,0.3365,0.08432506769895554,0.21525920927524567,0.7004157900810242,5,Great deal can’t find it nowhere else LITERALLY.,"Reviewed in the United States on March 27, 2024","I got the Phone on the 20th I paid taxes on the device and the first months bill which came to a total of 166.00$USD I see reviews said the phone was 0.01$ which is insane I don’t know how people forgot about taxes lol but the device is perfect and the service is mid but for a price of 60$ a month I have no complaints!! Yes 60$ a month T-Mobile was charging 50$ a month just to lease the phone alone which totaled 150 a month with a plan .
                            








                              Read more"
22,LouAnn  Lynn Preslar,0.018,0.813,0.169,0.9544,0.002743916818872094,0.007603844627737999,0.9896522164344788,5,I just love this phone thanks so much Amazon Prime and Boost …,"Reviewed in the United States on April 18, 2024","Hey guys I just want to tell you that the iPhone 15 max pro is a absolute beast.. I love everything about this phone . I love the fact that it has a C-charger instead of the old apple phone charger the Battery Life is out of this world the phone is so cool It’s very durable . The time time and face time it just don’t stop I would tell anyone if the got a chance to get this phone to grab it up you can’t get a better deal the. What these guys have put together for everybody. Plus I get a new iPhone every yr when they come out too way to flipping cool …
                            








                              Read more"
23,Amanda,0.077,0.811,0.112,0.5719,0.7561165690422058,0.20958386361598969,0.034299585968256,1,Phone is great… But Boost infinity is trash.,"Reviewed in the United States on May 27, 2024","Where to start I ordered a black iPhone pro max 15 256 gig. When the phone came it was actually blue no biggie the wrong color wasn’t a deal breaker. But when I called Boost to transfer my number from T-Mobile to Boost is where the nightmare began. Day 1 we were told it can take 24 hours for the number port to go through but they normally release numbers over night and should be up and running in the morning. Wake up at 6am the next day still no service  I go to work and then my wife spent the whole 2nd day trying to get it squared away. After spending basically the whole day being transferred from 1 person to the next, being hung up on several time, they finally send a ticket to the teach team and was told it should be good in 24 hours. Day 3 now 24 hours later still no service by this point I am fed up I just want a new number I need a phone for work. We were told it’s too late for a new number and we have to wait for the number port to go through. My wife being very persistent hangs up and calls again. This time we were told we will now have to pay $12.50 to start a new line to get a new number and it will be credited to our bill. My original phone number is still floating around out there saying pending activation. My wife’s phone came in the next day she had no problem porting her number from the same account. All phones on our old carrier were paid off years ago the worst part is I had to lose a phone number I have had for 10 plus years. I highly suggest if you decide to buy a phone from boost do not try to ports your number over just get a new number.
                            








                              Read more"
24,Tim,0.052,0.815,0.133,0.9758,0.16444361209869385,0.31402787566185,0.5215285420417786,5,Excellent Phone. Excellent service. Excellent deal.,"Reviewed in the United States on November 8, 2023","I really disliked my previous phone due to the continuous lip (for the camera) incorporated into the entire width of the phone. This caused it to be a vending machine of sorts, pulling change out of my pocket every time I withdrew it. It also ran supremely hot and the battery life declined miserably over time after using it a lot as a hot spot. I've only had this ""top of the line"" iphone for about a week now, but it's already a lot better than my previous phone. I took a chance on Boost Infinite because they use three different towers to collect signals from (tmobile, AT&T, & Dish) which theoretically gives my phone better reception. IT DOES. My previous phone rarely captured 5G signals, and it's much more frequent with Boost. My bosses iphone, which only uses AT&T almost never has 5G when I have 5G. I haven't used the phone as a hot spot yet, so I cannot comment on how hot the phone gets on heavy load, but it's already cooler under normal operation. It's probably not fair to compare battery life of a new phone over a less than two year old phone, but already better than I can remember with the other flagship alternative. I somehow got this iphone 15 Pro Max for $60/mo on amazon. That deal no longer exists and it will be about $6 more under current offerings by Boost Infinite. Comparatively, T-Mobile is offering this phone at an upgrade price of $50/mo....JUST FOR THE PHONE! This plan through BOOST INFINITE also gives me a new phone EVERY YEAR! I have no regrets whatsoever. Even at current deals it's a bargain.
                            








                              Read more"
25,devon gaines,0.064,0.741,0.194,0.8932,0.008176639676094055,0.04326320439577103,0.9485601782798767,5,Couldn’t be happier,"Reviewed in the United States on June 23, 2024","Me and my wife found this by complete accident and decided to give it a try. I have never had an iPhone before and have always been curious if about apple products and boost infinite was too good of a deal to pass up and the switch from Verizon was a great experience will no issues. I will never go back to android and am very happy all the way around.
                            








                              Read more"
26,Milagros,0.0,0.53,0.47,0.908,0.001798328128643334,0.017107805237174034,0.9810938835144043,5,Satusfaction,"Reviewed in the United States on July 3, 2024","The item is amazing and activation with the help of Boost Customer representative was very easy.
                            








                              Read more"
27,Judith M.,0.0,0.901,0.099,0.296,0.053281500935554504,0.6555561423301697,0.2911623418331146,5,I love it! I use to be a Professional Photographer and taught it!,"Reviewed in the United States on June 30, 2024","Personal use, share my photo shoots.
                             
                              I'm 74 in a few months and those phone allows me to do this
                             
                            








                              Read more"
28,ANGELICA P. SANTANA,0.0,0.565,0.435,0.92,0.0015262268716469407,0.0075730085372924805,0.9909007549285889,5,"5.0 out of 5 stars
I’m very happy with my iPhone",28/06/2024,"wonderful service. I’m pleased with the quality of the phone, is in excellent condition! Thank you also for your fast shipping."
29,Marimusee,0.0,0.692,0.308,0.7463,0.0045226626098155975,0.06467165052890778,0.9308056831359863,5,"5.0 out of 5 stars
Scratch on camera Lens",25/04/2024,Scratch on one camera lens but Everything else is perfect came on time !
30,Dominic Bialek,0.016,0.691,0.293,0.9881,0.01824065111577511,0.12032870948314667,0.8614306449890137,4,"4.0 out of 5 stars
A Good Gamble",2/4/2024,"Used is something that I have always been hesitant about. I tool a gamble cause for $1050 for this phone right now is a good deal. I got the device and was impressed by the condition. Outside cosmetically was in great condition and battery health was perfect. Only issue was a deep scratch on the display. Bought excellent condition, and that to me wasn't excellent. However, with how good of condition everything else was I would definitely take a gamble. Cause if you get the right one then it more environmentally friendly and you get a great deal. They seller was understanding with the return process. Would recommend."
31,emily,0.0,0.684,0.316,0.5719,0.004884141962975264,0.05085522681474686,0.9442607164382935,5,"5.0 out of 5 stars
Perfect.",10/5/2024,Phone was in perfect condition and worked completely normal.
32,"Tredev,LLC",0.0,0.385,0.615,0.1531,0.1578463762998581,0.6935519576072693,0.1486016809940338,1,"1.0 out of 5 stars
Fake Product and No Refund",23/05/2024,be careful
33,Divielis,0.0,0.575,0.425,0.5719,0.004847520962357521,0.10693628340959549,0.8882161974906921,5,"5.0 out of 5 stars
Muy Bueno",9/6/2024,Excellent purchase 100 out of 100
34,Shane Baker,0.0,0.728,0.272,0.7171,0.0013267247704789042,0.009616483002901077,0.9890567660331726,5,"5.0 out of 5 stars
Pleasantly surprised!",10/12/2023,I’m very pleased with the arrival time and the fact that they provide two screen protectors! I would recommend
35,Franco Tun,0.0,0.761,0.239,0.7684,0.006984193809330463,0.07140722870826721,0.9216086268424988,4,"4.0 out of 5 stars
Great Refurb/Renewed",10/5/2024,Haa some scratches and scuffs on the screen but came with 100% battery health and everything else working great.
36,yanie,0.088,0.912,0.0,-0.2755,0.9025669693946838,0.08968593180179596,0.007747142110019922,3,"3.0 out of 5 stars
Un teléfono tan caro y sin el conectador a la corriente",6/1/2024," I didn't like spending so much $ and just with the cable it doesn't come with the power to charge it. Now to buy one,"
37,Dan,0.164,0.836,0.0,-0.4843,0.45682603120803833,0.434839129447937,0.10833483934402466,1,"1.0 out of 5 stars
No Sims card Slot",14/01/2024,There is no sims card slot located anywhere on the phone.  Refurbished/Renew should also have a sims port??!!
38,Eva L.,0.0,0.803,0.197,0.894,0.005012715235352516,0.027004139497876167,0.9679831862449646,5,"5.0 out of 5 stars
Iphone 15 pro max (black titanium unlocked)",11/6/2024,This phone was in excellent condition. It did not have any scratches or wear on it. Did not have any problem  activating it. Really liked the condition the phone was in. The only thing it did not have was the original phone charger. It came with another charger but besides that everything else was in excellent conditions..
